"Symbol","Description","Local Symbol","IPO Date","Category1","Category2","Category3","GICS Sector","ISIN","SEDOL","Market Cap","Currency","Actions"
"JT:4187","Osaka Organic Chemical Ind","4187","11/21/2005","Global Equity","Common stocks","Developed markets ex-US","Materials","JP3187000009","6661962","58,464,567,296","JPY","Analyze"
"JT:8841","TOC Co., Ltd","8841","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Real Estate","JP3538400007","6893497","58,246,402,048","JPY","Analyze"
"JT:9661","Kabuki-Za Co., Ltd","9661","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Real Estate","JP3218600009","6480703","57,669,840,896","JPY","Analyze"
"JT:6376","Nikkiso Co., Ltd","6376","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3668000007","6639947","57,568,223,232","JPY","Analyze"
"JT:8336","The Musashino Bank, Ltd","8336","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Financials","JP3912800004","6611440","57,543,553,024","JPY","Analyze"
"JT:2160","GNI Group Ltd","2160","08/31/2007","Global Equity","Common stocks","Developed markets ex-US","Health Care","JP3386370005","B23QC91","57,333,612,544","JPY","Analyze"
"JT:8544","The Keiyo Bank, Ltd","8544","01/05/1984","Global Equity","Common stocks","Developed markets ex-US","Financials","JP3281600001","6190648","57,305,845,760","JPY","Analyze"
"JT:8022","Mizuno Corporation","8022","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3905200006","6597960","57,145,954,304","JPY","Analyze"
"JT:8871","GOLDCREST Co., Ltd","8871","07/22/1998","Global Equity","Common stocks","Developed markets ex-US","Real Estate","JP3306800008","6123343","56,754,061,312","JPY","Analyze"
"JT:8182","Inageya Co., Ltd","8182","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","JP3145200006","6461645","56,745,865,216","JPY","Analyze"
"JT:7173","Tokyo Kiraboshi Financial Group, Inc","7173","10/01/2014","Global Equity","Common stocks","Developed markets ex-US","Financials","JP3584400000","BQQ1JS9","56,658,329,600","JPY","Analyze"
"JT:8131","Mitsuuroko Group Holdings Co.,Ltd","8131","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Energy","JP3894400005","6597681","56,521,822,208","JPY","Analyze"
"JT:8168","Keiyo Co., Ltd","8168","12/24/1984","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3277400002","6487458","56,334,708,736","JPY","Analyze"
"JT:8200","Ringer Hut Co.,Ltd","8200","07/07/1998","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3977000003","6740634","55,804,297,216","JPY","Analyze"
"JT:7606","United Arrows Ltd","7606","07/30/1999","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3949400000","6166597","55,527,747,584","JPY","Analyze"
"JT:8125","Wakita & Co.,LTD","8125","01/05/1984","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3992000004","6933735","55,365,668,864","JPY","Analyze"
"JT:8160","Kisoji Co., Ltd","8160","09/19/2000","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3237000009","6497491","54,423,900,160","JPY","Analyze"
"JT:6058","Vector Inc","6058","03/27/2012","Global Equity","Common stocks","Developed markets ex-US","Communication Services","JP3835500004","B7MTYY5","54,300,798,976","JPY","Analyze"
"JT:6118","Aida Engineering, Ltd","6118","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3102400003","6010326","54,024,155,136","JPY","Analyze"
"JT:8923","Tosei Corporation","8923","11/22/2006","Global Equity","Common stocks","Developed markets ex-US","Real Estate","JP3595070008","6735823","53,763,584,000","JPY","Analyze"
"JT:4526","Riken Vitamin Co., Ltd","4526","01/05/1984","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","JP3972600005","6739944","53,456,011,264","JPY","Analyze"
"JT:9037","Hamakyorex Co., Ltd","9037","09/19/1997","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3771150004","6051444","53,431,083,008","JPY","Analyze"
"JT:8214","AOKI Holdings Inc","8214","03/02/1988","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3105400000","6045759","53,331,316,736","JPY","Analyze"
"JT:8527","The Aichi Bank, Ltd","8527","08/31/1992","Global Equity","Common stocks","Developed markets ex-US","Financials","JP3103000000","6196550","53,189,472,256","JPY","Analyze"
"JT:8140","Ryosan Company, Limited","8140","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Information Technology","JP3975400007","6763200","52,948,635,648","JPY","Analyze"
"JT:8715","Anicom Holdings, Inc","8715","03/03/2010","Global Equity","Common stocks","Developed markets ex-US","Financials","JP3122440005","B3PQXL5","52,740,014,080","JPY","Analyze"
"JT:7593","Vt Holdings Co.,Ltd","7593","06/20/2000","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3854700006","6127334","52,310,589,440","JPY","Analyze"
"JT:7990","Globeride, Inc","7990","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3503800009","","52,110,307,328","JPY","Analyze"
"JT:8522","The Bank of Nagoya, Ltd","8522","11/16/1988","Global Equity","Common stocks","Developed markets ex-US","Financials","JP3648800005","6620093","51,253,313,536","JPY","Analyze"
