Name;Market ID;Market Name;ISIN;Symbol;CCY;CSD;Type;ADT (EUR);Large In Scale (Local Currency);Live Date;End Date;TrackInsight A-list
PESCANOVA SA;XMAD;Bolsa de Madrid;ES0169350016;PVAe;EUR;ES;EQ;381.196;60.000;30. Sep 19;;N
QUABIT INMOBILIARIA SA;XMAD;Bolsa de Madrid;ES0110944172;QBTe;EUR;ES;EQ;972.832;100.000;30. Sep 19;;N
RENTA 4 BANCO SA;XMAD;Bolsa de Madrid;ES0173358039;R4e;EUR;ES;EQ;43.877;15.000;30. Sep 19;;N
RENO DE MEDICI SPA;XMAD;Bolsa de Madrid;IT0001178299;RDMe;EUR;ES;EQ;890.458;100.000;30. Sep 19;;N
RED ELECTRICA CORPORACION SA;XMAD;Bolsa de Madrid;ES0173093024;REEe;EUR;ES;EQ;107.778.384;650.000;30. Sep 19;;N
RENTA CORP REAL ESTATE SA;XMAD;Bolsa de Madrid;ES0173365018;RENe;EUR;ES;EQ;273.542;60.000;30. Sep 19;;N
REPSOL SA;XMAD;Bolsa de Madrid;ES0173516115;REPe;EUR;ES;EQ;315.274.445;650.000;30. Sep 19;;N
BODEGAS RIOJANAS SA;XMAD;Bolsa de Madrid;ES0115002018;RIOe;EUR;ES;EQ;13.634;15.000;30. Sep 19;;N
LABORATORIO REIG JOFRE SA;XMAD;Bolsa de Madrid;ES0165359029;RJFe;EUR;ES;EQ;83.794;30.000;30. Sep 19;;N
REALIA BUSINESS SA;XMAD;Bolsa de Madrid;ES0173908015;RLIAe;EUR;ES;EQ;758.495;100.000;30. Sep 19;;N
LABORATORIOS FARMACEUTICOS R;XMAD;Bolsa de Madrid;ES0157261019;ROVIe;EUR;ES;EQ;736.446;100.000;30. Sep 19;;N
BANCO DE SABADELL SA;XMAD;Bolsa de Madrid;ES0113860A34;SABe;EUR;ES;EQ;117.597.216;650.000;30. Sep 19;;N
BANCO SANTANDER SA;XMAD;Bolsa de Madrid;ES0113900J37;SANe;EUR;ES;EQ;988.461.883;650.000;30. Sep 19;;N
SACYR SA;XMAD;Bolsa de Madrid;ES0182870214;SCYRe;EUR;ES;EQ;13.706.348;300.000;30. Sep 19;;N
SIEMENS GAMESA RENEWABLE ENE;XMAD;Bolsa de Madrid;ES0143416115;SGREe;EUR;ES;EQ;76.903.184;500.000;30. Sep 19;;N
SOLARIA ENERGIA Y MEDIO AMBI;XMAD;Bolsa de Madrid;ES0165386014;SLRe;EUR;ES;EQ;8.603.724;300.000;30. Sep 19;;N
SNIACE-SOC NAC IND APLIC CEL;XMAD;Bolsa de Madrid;ES0165380017;SNCe;EUR;ES;EQ;285.195;60.000;30. Sep 19;;N
SERVICE POINT SOLUTIONS SA;XMAD;Bolsa de Madrid;ES0143421073;SPSe;EUR;ES;EQ;58.885;30.000;30. Sep 19;;N
TELEFONICA SA;XMAD;Bolsa de Madrid;ES0178430E18;TEFe;EUR;ES;EQ;463.073.566;650.000;30. Sep 19;;N
MEDIASET ESPANA COMUNICACION;XMAD;Bolsa de Madrid;ES0152503035;TL5e;EUR;ES;EQ;30.513.756;400.000;30. Sep 19;;N
TALGO SA;XMAD;Bolsa de Madrid;ES0105065009;TLGOe;EUR;ES;EQ;2.523.062;200.000;30. Sep 19;;N
