Name;Market ID;Market Name;ISIN;Symbol;CCY;CSD;Type;ADT (EUR);Large In Scale (Local Currency);Live Date;End Date;TrackInsight A-list
M P EVANS GROUP PLC;AIMX;London Stock Exchange - AIM;GB0007538100;MPEl;GBX;GB;EQ;463.478;5.367.180;30. Sep 19;;N
MOTIF BIO PLC;AIMX;London Stock Exchange - AIM;GB00BVVT4H71;MTFBl;GBX;GB;EQ;510.233;8.945.300;30. Sep 19;;N
MULBERRY GROUP PLC;AIMX;London Stock Exchange - AIM;GB0006094303;MULl;GBX;GB;EQ;76.894;2.683.590;30. Sep 19;;N
NAHL GROUP PLC;AIMX;London Stock Exchange - AIM;GB00BM7S2W63;NAHl;GBX;GB;EQ;248.308;5.367.180;30. Sep 19;;N
NEXT FIFTEEN COMMUNICATIONS;AIMX;London Stock Exchange - AIM;GB0030026057;NFCl;GBX;GB;EQ;556.103;8.945.300;30. Sep 19;;N
NICHOLS PLC;AIMX;London Stock Exchange - AIM;GB0006389398;NICLl;GBX;GB;EQ;423.902;5.367.180;30. Sep 19;;N
NUMIS CORPORATION PLC;AIMX;London Stock Exchange - AIM;GB00B05M6465;NUMl;GBX;GB;EQ;1.727.835;17.890.600;30. Sep 19;;N
OXFORD BIODYNAMICS PLC;AIMX;London Stock Exchange - AIM;GB00BD5H8572;OBDl;GBX;GB;EQ;173.640;5.367.180;30. Sep 19;;N
PAN AFRICAN RESOURCES PLC;AIMX;London Stock Exchange - AIM;GB0004300496;PAFl;GBX;GB;EQ;1.987.486;17.890.600;30. Sep 19;;N
PANTHEON RESOURCES PLC;AIMX;London Stock Exchange - AIM;GB00B125SX82;PANRl;GBX;GB;EQ;896.115;8.945.300;30. Sep 19;;N
PARKMEAD GROUP PLC/THE;AIMX;London Stock Exchange - AIM;GB00BGCYZL73;PMGl;GBX;GB;EQ;802.468;8.945.300;30. Sep 19;;N
POLAR CAPITAL HOLDINGS PLC;AIMX;London Stock Exchange - AIM;GB00B1GCLT25;POLRl;GBX;GB;EQ;675.829;8.945.300;30. Sep 19;;N
PROTEOME SCIENCES PLC;AIMX;London Stock Exchange - AIM;GB0003104196;PRMl;GBX;GB;EQ;11.218;1.341.795;30. Sep 19;;N
BLUE PRISM GROUP PLC;AIMX;London Stock Exchange - AIM;GB00BYQ0HV16;PRSMl;GBX;GB;EQ;9.433.697;26.835.900;30. Sep 19;;N
PURPLEBRICKS GROUP PLC;AIMX;London Stock Exchange - AIM;GB00BYV2MV74;PURPl;GBX;GB;EQ;5.925.360;26.835.900;30. Sep 19;;N
QUADRISE FUELS INTERNATIONAL;AIMX;London Stock Exchange - AIM;GB00B11DDB67;QFIl;GBX;GB;EQ;231.851;5.367.180;30. Sep 19;;N
QUIZ PLC;AIMX;London Stock Exchange - AIM;JE00BZ00SF59;QUIZl;GBX;GB;EQ;451.125;5.367.180;30. Sep 19;;N
